GEMS.Station.Number_Sample.Date,pH,NO2N,NO3N,TP,O2-Dis,NH4N,TEMP,EC
BEL00118_2018-03-22,7.85,0.09756096,6.49436718,0.274,11.33,0.854139,6.3,859.0
BEL00118_2018-04-12,7.7,0.14939022,5.19639668,0.319,8.17,0.4969536,13.3,883.0
BEL00118_2018-05-17,7.8,0.20121948,5.29571964,0.482,6.72,0.3804801,16.8,994.0
BEL00118_2018-06-07,7.61,0.30182922,5.59594586,0.408,5.56,0.3416556,20.5,705.0
BEL00118_2018-07-05,8.1,0.08841462,4.39729832,0.518,8.49,0.0543543,22.9,1082.0
BEL00118_2018-08-09,8.19,0.08536584,3.09707048,0.59,8.77,0.0465894,24.2,1096.0
BEL00118_2018-09-06,7.96,0.20121948,3.99774914,0.432,9.07,0.1320033,20.8,956.0
BEL00118_2018-10-18,7.76,0.17987802,4.59594424,0.63,6.81,0.0854139,16.4,1092.0
BEL00118_2018-11-12,7.64,0.16158534,3.99774914,0.54,7.9,0.7221357,10.7,906.0
BEL00118_2018-12-12,7.6,0.14024388,5.29571964,0.54,7.5,0.9783774,8.1,808.0
BEL00118_2019-01-22,7.73,0.10365852,6.094818,0.504,8.8,0.543543,4.3,1003.0
BEL00118_2019-02-19,7.74,0.14634144,8.59369338,0.463,10.18,0.4969536,7.4,938.0
BEL00118_2019-03-19,7.7,0.12499998,8.69301634,0.385,9.4,0.4115397,9.2,721.0
BEL00118_2019-04-16,7.78,0.12499998,5.09707372,0.382,8.66,0.3183609,12.5,985.0
BEL00118_2019-05-16,7.8,0.18597558,4.89617046,0.492,7.58,0.2950662,15.9,978.0
BEL00118_2019-06-18,7.56,0.24695118,2.6975213,0.59,4.49,0.5590728,19.9,665.0
BEL00118_2019-07-16,8.28,0.03658536,1.5688513,0.63,7.78,0.1009437,20.8,1161.0
BEL00118_2019-08-13,8.12,0.1067073,1.85779082,1.62,8.03,0.1242384,20.7,1157.0
BEL00118_2019-09-23,7.99,0.0762195,2.14898768,0.81,7.43,0.1009437,18.6,1252.0
BEL00118_2019-10-08,7.6,0.2896341,3.69752292,0.64,5.87,0.5668377,15.6,860.0
BEL00118_2019-11-07,7.76,0.1371951,4.30700472,0.73,7.96,0.3649503,10.6,908.0
BEL00118_2019-12-04,7.65,0.11280486,5.29571964,0.537,7.72,0.543543,7.1,924.0
BEL00118_2020-01-13,7.84,0.14024388,6.89391636,0.459,9.25,0.5823675,7.8,843.0
BEL00118_2020-02-04,7.9,0.13414632,7.29572288,0.63,9.44,0.543543,8.6,819.0
BEL00118_2020-03-03,7.87,0.10060974,8.1941442,0.443,9.44,0.4581291,7.2,732.0
BEL00118_2020-04-01,8.04,0.11280486,6.59594748,0.498,10.47,0.3571854,8.8,880.0
BEL00118_2020-05-05,7.87,0.1981707,5.4966229,0.435,7.52,0.4348344,14.7,889.0
BEL00118_2020-06-03,8.08,0.07926828,5.09707372,0.473,8.6,0.1397682,21.0,1011.0
BEL00118_2020-07-01,7.93,0.13414632,3.72686834,0.504,7.06,0.1397682,20.3,906.0
BEL00118_2020-08-04,8.44,0.0304878,3.26862832,0.455,9.98,0.1009437,21.9,1007.0
BEL00118_2020-09-01,8.04,0.17378046,2.56885292,0.66,8.18,0.1009437,18.9,887.0
BEL00118_2020-10-01,7.79,0.26524386,3.08804112,0.68,6.1,0.6134271,16.0,935.0
BEL00118_2020-11-04,7.77,0.152439,4.7855608,0.517,7.65,0.4503642,12.3,827.0
BEL00118_2020-12-01,7.82,0.08536584,5.29571964,0.588,8.16,0.3727152,8.6,1031.0
BEL00118_2021-01-12,7.78,0.1067073,7.09481962,0.583,10.46,0.6522516,6.0,904.0
BEL00118_2021-02-02,7.8,0.08841462,7.39504584,0.541,9.94,0.5202483,7.4,591.0
BEL00118_2021-03-02,7.87,0.1219512,6.59594748,0.471,9.76,0.6367218,10.2,912.0
BEL00118_2021-04-06,7.97,0.11280486,5.89617208,0.428,10.12,0.3804801,9.5,938.0
BEL00118_2021-05-04,7.94,0.14024388,4.48759192,0.409,8.48,0.3804801,13.0,901.0
BEL00118_2021-06-01,7.72,0.18597558,4.89617046,0.418,6.63,0.3649503,19.3,833.0
BEL00118_2021-07-06,7.62,0.28353654,6.094818,0.76,4.15,0.6910761,19.7,773.0
BEL00118_2021-08-03,7.63,0.27134142,3.96614638,0.61,3.84,0.5901324,19.6,746.0
BEL00118_2021-09-07,8.05,0.06707316,3.97743308,0.587,6.49,0.1009437,20.5,959.0
BEL00118_2021-10-05,7.52,0.21036582,3.3972967,0.527,4.11,0.7687251,14.8,755.0
BEL00118_2021-11-04,7.61,0.13109754,4.14673358,0.66,6.02,0.621192,11.1,832.0
BEL00118_2021-12-01,7.67,0.06707316,5.99549504,0.91,7.84,0.4425993,6.8,548.0
BEL00119_2013-01-17,7.86,0.091,5.196,0.31,8.75,0.769,3.4,1020.0
BEL00119_2013-02-11,8.12,0.091,5.296,0.3,9.86,0.854,4.2,1033.0
BEL00119_2013-03-14,7.45,0.091,4.995,0.58,10.52,0.901,5.7,1236.0
BEL00119_2013-04-08,8.29,0.067,4.497,0.58,13.16,0.163,7.3,2820.0
BEL00119_2013-05-07,9.06,0.095,2.799,0.43,21.3,0.163,15.3,2990.0
BEL00119_2013-06-12,8.64,0.101,2.499,0.25,14.87,0.163,17.7,2770.0
BEL00119_2013-07-09,8.71,0.113,2.799,0.42,15.94,0.186,20.7,3480.0
BEL00119_2013-08-12,8.02,0.091,1.4,0.45,6.94,0.66,20.7,5160.0
BEL00119_2013-09-11,7.99,0.076,1.569,0.8,7.11,0.761,18.1,6050.0
BEL00119_2013-10-07,7.88,0.07,2.047,0.45,7.5,0.264,16.1,4920.0
BEL00119_2013-10-30,7.86,0.128,5.097,0.51,8.19,0.342,12.3,3970.0
BEL00119_2013-11-27,7.66,0.079,4.397,0.8,8.24,0.427,6.8,1361.0
BEL00119_2014-01-16,7.9,0.073,5.596,0.41,9.3,0.443,8.6,2024.0
BEL00119_2014-02-10,7.86,0.055,4.497,0.43,9.9,0.474,7.0,777.0
BEL00119_2014-03-06,7.68,0.055,4.596,0.58,8.53,0.404,7.3,1211.0
BEL00119_2014-04-07,8.02,0.049,3.998,0.2,10.43,0.163,14.4,3030.0
BEL00119_2014-05-08,8.73,0.037,2.598,0.21,14.82,0.163,14.9,4150.0
BEL00119_2014-06-11,7.88,0.095,3.298,0.3,7.62,0.163,20.2,3260.0
BEL00119_2014-07-07,7.95,0.058,2.429,0.49,7.97,0.163,19.8,3590.0
BEL00119_2014-08-11,7.53,0.131,2.359,0.86,4.63,0.474,20.2,2450.0
BEL00119_2014-09-09,7.52,0.091,3.998,0.78,5.22,0.163,18.7,1699.0
BEL00119_2014-10-02,7.83,0.037,2.289,0.29,6.67,0.163,18.1,3630.0
BEL00119_2014-11-03,8.01,0.052,2.129,0.43,7.76,0.241,13.4,3590.0
BEL00119_2014-12-02,7.89,0.076,4.097,0.28,7.73,0.241,8.1,2037.0
BEL00119_2015-01-15,7.92,0.07,5.296,0.68,9.39,0.637,7.2,1394.0
BEL00119_2015-02-11,8.29,0.052,5.995,0.39,10.22,0.544,5.6,1456.0
BEL00119_2015-02-25,7.98,0.061,5.196,0.49,10.17,0.722,6.5,1293.0
BEL00119_2015-03-25,7.98,0.082,5.497,0.26,9.1,0.404,8.3,1296.0
BEL00119_2015-04-22,8.21,0.091,4.995,0.3,10.97,0.163,12.9,1416.0
BEL00119_2015-05-27,8.63,0.095,3.298,0.29,15.56,0.163,17.1,2790.0
BEL00119_2015-06-24,8.17,0.064,3.598,0.31,9.56,0.163,18.7,2320.0
BEL00119_2015-07-23,8.15,0.04,2.499,0.51,8.64,0.163,21.0,3240.0
BEL00119_2015-09-03,7.86,0.058,1.819,0.59,7.87,0.241,18.9,3090.0
BEL00119_2015-10-01,7.8,0.113,2.837,0.5,7.98,0.21,14.3,2800.0
BEL00119_2015-10-27,7.69,0.07,4.036,0.47,6.71,0.217,12.4,3050.0
BEL00119_2015-11-25,7.94,0.085,5.007,0.7,8.83,0.567,8.9,1337.0
BEL00119_2016-01-20,7.91,0.082,6.894,0.48,9.91,0.544,3.5,790.0
BEL00119_2016-02-15,7.98,0.07,5.707,0.48,9.36,0.66,6.5,1549.0
BEL00119_2016-03-14,7.98,0.061,5.316,0.34,9.1,0.404,6.9,1956.0
BEL00119_2016-04-11,8.22,0.119,5.686,0.3,7.65,0.38,11.9,1862.0
BEL00119_2016-05-11,8.05,0.11,5.196,0.29,8.4,0.148,17.6,1532.0
BEL00119_2016-06-02,7.59,0.204,5.497,0.71,5.56,0.831,15.5,682.0
BEL00119_2016-07-14,7.86,0.155,4.977,0.39,6.38,0.248,19.4,2250.0
BEL00119_2016-08-11,8.02,0.149,5.106,0.44,7.09,0.28,19.4,1495.0
BEL00119_2016-10-10,8.1,0.076,4.698,0.46,7.08,0.148,14.4,2850.0
BEL00119_2016-11-08,7.87,0.11,4.397,0.41,7.51,0.311,8.6,1989.0
BEL00119_2016-12-06,7.85,0.091,6.494,0.3,8.09,0.404,4.7,1943.0
BEL00119_2017-01-19,8.09,0.058,7.395,0.56,10.05,0.598,2.0,1233.0
BEL00119_2017-02-09,7.85,0.091,6.196,0.35,8.37,0.839,5.7,1172.0
BEL00119_2017-03-13,8.08,0.091,5.995,0.45,8.55,0.598,9.7,1315.0
BEL00119_2017-04-10,8.13,0.085,5.097,0.3,9.38,0.07,13.9,2230.0
BEL00119_2017-05-09,7.99,0.07,5.097,0.29,9.12,0.233,12.7,2108.0
BEL00119_2017-06-13,8.58,0.079,2.298,0.42,11.83,0.14,18.0,5430.0
BEL00119_2017-07-12,8.63,0.098,1.199,0.5,10.05,0.248,20.7,5890.0
BEL00119_2017-08-16,7.71,0.085,1.199,0.63,6.36,0.357,20.1,3810.0
BEL00119_2017-09-12,7.88,0.058,1.998,0.63,5.56,0.528,17.5,3100.0
BEL00119_2017-11-07,7.96,0.101,2.499,0.522,8.92,0.349,9.2,5040.0
BEL00119_2017-12-06,7.51,0.101,7.894,0.515,8.72,0.567,6.3,1327.0
BEL00119_2018-01-18,8.11,0.10060974,5.69526882,0.437,10.37,0.7842549,6.7,1357.0
BEL00119_2018-02-14,7.75,0.07012194,5.79684912,0.321,10.24,0.4736589,4.5,1299.0
BEL00119_2018-03-22,8.01,0.08231706,5.79684912,0.295,9.67,0.4270695,6.7,1322.0
BEL00119_2018-04-16,7.75,0.10060974,4.49662128,0.34,7.3,0.5590728,12.4,1690.0
BEL00119_2018-05-15,8.24,0.08536584,3.79684588,0.236,10.96,0.232947,16.5,2190.0
BEL00119_2018-06-07,7.8,0.20121948,3.3972967,0.401,6.52,0.3727152,20.0,1612.0
BEL00119_2018-07-02,8.7,0.06402438,2.89842456,0.252,10.89,0.1475331,22.4,3630.0
BEL00119_2018-08-06,8.78,0.08536584,0.51015884,0.169,12.89,0.1164735,22.1,6540.0
BEL00119_2018-09-04,8.07,0.06707316,2.39729508,0.42,7.62,0.2407119,19.7,3730.0
BEL00119_2018-10-03,7.94,0.0762195,2.89842456,0.5,9.01,0.2795364,14.3,4670.0
BEL00119_2018-10-25,7.96,0.03353658,1.79909998,0.448,8.22,0.2795364,14.7,7350.0
BEL00119_2018-11-28,7.76,0.0914634,3.19865078,0.378,8.44,0.388245,7.4,4260.0
BEL00119_2019-01-17,7.91,0.08841462,7.39504584,0.344,10.48,0.3649503,6.5,2158.0
BEL00119_2019-02-07,7.63,0.0914634,9.79234092,0.408,9.61,0.621192,5.1,1878.0
BEL00119_2019-02-28,7.69,0.08536584,8.79459664,0.26,8.81,0.2950662,8.0,1705.0
BEL00119_2019-03-27,7.76,0.08841462,7.99324094,0.322,9.16,0.2407119,10.3,1622.0
BEL00119_2019-04-16,7.91,0.0914634,5.29571964,0.262,9.11,0.1475331,10.5,1789.0
BEL00119_2019-05-15,8.78,0.10060974,2.59819834,0.255,17.24,0.1009437,14.5,2820.0
BEL00119_2019-06-20,7.99,0.07317072,2.6975213,0.4,8.1,0.1785927,19.4,2480.0
BEL00119_2019-08-01,8.0,0.1067073,0.8690759,0.64,5.29,0.4891887,21.1,5840.0
BEL00119_2019-09-11,8.42,0.05182926,0.4288946,0.57,13.16,0.1087086,17.0,7630.0
BEL00119_2019-10-07,7.79,0.08841462,1.918739,0.521,7.42,0.5590728,14.7,4020.0
BEL00119_2019-10-28,7.7,0.11585364,2.63883046,0.6,6.42,0.5513079,12.2,3110.0
BEL00119_2019-12-02,7.82,0.07926828,4.67720848,0.472,8.22,0.3804801,7.4,2030.0
BEL00119_2020-01-20,7.87,0.10365852,7.4943688,0.405,9.49,0.3416556,6.5,1509.0
BEL00119_2020-02-11,8.01,0.07926828,7.89391798,0.366,10.68,0.2640066,6.4,2650.0
BEL00119_2020-03-10,7.66,0.06707316,6.1963983,0.504,9.26,0.4037748,8.3,872.0
BEL00119_2020-03-31,8.1,0.09756096,6.7945934,0.235,10.63,0.2562417,8.5,1617.0
BEL00119_2020-05-13,8.33,0.0609756,3.46727424,0.193,12.18,0.1009437,14.5,4230.0
BEL00119_2020-06-17,7.88,0.15853656,3.02709294,0.295,7.36,0.3494205,21.5,5040.0
BEL00119_2020-07-15,8.19,0.11890242,2.31828818,0.413,8.68,0.1009437,20.0,3140.0
BEL00119_2020-08-19,8.25,0.0609756,1.24830902,0.457,7.26,0.1785927,22.7,4550.0
BEL00119_2020-09-10,8.19,0.07012194,2.3589203,0.511,9.83,0.1009437,19.1,4620.0
BEL00119_2020-11-09,7.79,0.10060974,4.15802028,0.424,7.62,0.2407119,11.7,2640.0
BEL00119_2020-12-03,7.71,0.11585364,3.37698064,0.498,7.82,0.4581291,8.8,5150.0
BEL00119_2021-01-20,7.89,0.09451218,8.99324256,0.467,9.82,0.5823675,5.5,1198.0
BEL00119_2021-02-09,7.66,0.0914634,7.39504584,0.404,9.92,0.4348344,4.0,1107.0
BEL00119_2021-03-08,7.92,0.1067073,7.09481962,0.278,9.58,0.3727152,7.5,1431.0
BEL00119_2021-04-07,8.18,0.0762195,5.79684912,0.275,10.34,0.1475331,8.3,2470.0
BEL00119_2021-05-04,8.15,0.0609756,5.19639668,0.269,9.8,0.1009437,13.0,2680.0
BEL00119_2021-06-03,7.97,0.1067073,4.07675604,0.286,9.75,0.1009437,19.9,1702.0
BEL00119_2021-07-01,7.65,0.21951216,3.37698064,0.588,5.33,0.5901324,16.9,1435.0
BEL00119_2021-08-25,8.01,0.05487804,3.1377026,0.351,8.73,0.1009437,20.0,1714.0
BEL00119_2021-09-20,7.91,0.07012194,2.29797212,0.502,7.3,0.1475331,19.6,4410.0
BEL00119_2021-10-12,7.96,0.14024388,3.62754538,0.483,8.7,0.4270695,14.4,1761.0
BEL00119_2021-11-08,7.77,0.10060974,4.77653144,0.502,8.75,0.2717715,10.6,1437.0
BEL00119_2021-11-29,7.47,0.07317072,5.29571964,0.572,7.77,0.6522516,6.7,1184.0
BEL00120_2013-01-16,8.19,0.024,3.598,0.2,11.75,0.101,4.9,388.0
BEL00120_2013-02-13,8.34,0.027,2.998,0.2,11.84,0.101,4.3,341.0
BEL00120_2013-03-19,8.41,0.037,3.998,0.27,11.17,0.109,7.1,492.0
BEL00120_2013-04-10,7.67,0.021,3.497,0.21,11.65,0.101,8.9,435.0
BEL00120_2013-05-07,8.12,0.03,3.199,0.18,8.51,0.148,18.2,500.0
BEL00120_2013-06-05,8.22,0.037,2.549,0.19,9.18,0.109,16.5,397.0
BEL00120_2013-07-03,7.95,0.043,2.549,0.12,8.24,0.155,19.6,376.0
BEL00120_2013-08-28,8.24,0.03,2.698,0.38,6.99,0.116,20.6,562.0
BEL00120_2013-09-25,8.0,0.046,2.998,0.2,7.96,0.202,17.0,498.0
BEL00120_2013-10-23,8.18,0.034,2.898,0.26,8.92,0.101,16.3,549.0
BEL00120_2013-11-20,8.09,0.018,2.698,0.13,11.58,0.101,7.9,361.0
BEL00120_2013-12-12,8.24,0.024,3.097,0.14,11.64,0.155,6.9,474.0
BEL00120_2014-01-14,7.96,0.018,2.799,0.1,10.69,0.101,9.6,314.0
BEL00120_2014-02-11,8.3,0.021,3.298,0.067,11.1,0.109,7.8,355.0
BEL00120_2014-03-11,7.88,0.027,3.298,0.052,11.45,0.101,10.4,393.0
BEL00120_2014-04-08,8.24,0.018,3.497,0.12,9.61,0.101,14.7,479.0
BEL00120_2014-05-06,8.06,0.027,3.199,0.49,9.02,0.101,17.6,505.0
BEL00120_2014-06-03,8.14,0.024,3.896,0.35,9.46,0.101,20.1,484.0
BEL00120_2014-07-01,7.97,0.024,2.397,0.26,7.75,0.163,19.7,511.0
BEL00120_2014-08-26,7.91,0.024,2.449,0.58,7.69,0.101,17.9,417.0
BEL00120_2014-09-23,7.87,0.024,2.698,0.2,7.11,0.109,19.5,458.0
BEL00120_2014-10-21,7.9,0.027,2.578,0.18,8.63,0.101,16.3,419.0
BEL00120_2014-11-18,8.04,0.018,3.797,0.15,9.64,0.101,11.7,454.0
BEL00120_2014-12-16,8.19,0.024,3.998,0.19,10.79,0.116,9.8,477.0
BEL00120_2015-01-14,8.0,0.027,3.397,0.1,11.56,0.163,7.2,350.0
BEL00120_2015-02-11,8.11,0.021,3.298,0.15,12.66,0.163,5.4,370.0
BEL00120_2015-03-11,8.09,0.021,3.298,0.18,12.18,0.163,7.8,375.0
BEL00120_2015-04-08,7.86,0.034,3.298,0.13,10.55,0.163,10.7,384.0
BEL00120_2015-06-03,8.23,0.027,3.298,0.13,8.67,0.07,17.4,511.0
BEL00120_2015-07-01,7.87,0.04,2.898,0.18,6.86,0.14,22.5,540.0
BEL00120_2015-08-26,8.01,0.024,2.499,0.25,7.51,0.116,21.2,599.0
BEL00120_2015-09-23,7.86,0.024,2.499,0.17,7.98,0.132,15.9,481.0
BEL00120_2015-10-21,7.82,0.034,2.698,0.27,8.75,0.241,12.1,539.0
BEL00120_2015-11-18,8.15,0.027,3.199,0.13,9.43,0.109,13.4,619.0
BEL00120_2015-12-16,7.76,0.03,3.698,0.17,9.98,0.14,10.6,343.0
BEL00120_2016-01-13,7.98,0.024,3.097,0.11,10.79,0.07,7.8,352.0
BEL00120_2016-02-10,8.04,0.027,3.698,0.19,10.72,0.101,7.6,329.0
BEL00120_2016-03-09,8.43,0.021,3.497,0.17,11.2,0.101,6.4,411.0
BEL00120_2016-04-06,8.17,0.021,2.799,0.19,10.36,0.07,12.3,398.0
BEL00120_2016-05-03,8.05,0.024,2.698,0.1,9.93,0.07,12.9,414.0
BEL00120_2016-06-01,8.04,0.027,2.698,0.11,8.1,0.07,17.9,456.0
BEL00120_2016-07-27,7.85,0.03,3.097,0.1,6.7,0.093,23.4,500.0
BEL00120_2016-08-24,8.01,0.021,2.998,0.16,7.28,0.07,22.2,495.0
BEL00120_2016-09-21,7.99,0.021,3.298,0.24,7.02,0.07,20.2,615.0
BEL00120_2016-10-19,7.97,0.021,3.199,0.33,8.6,0.116,13.5,634.0
BEL00120_2016-11-16,7.99,0.027,3.298,0.23,8.64,0.116,10.9,607.0
BEL00120_2016-12-14,8.12,0.034,4.497,0.32,10.25,0.116,9.6,546.0
BEL00120_2017-01-11,7.82,0.034,4.196,0.4,10.62,0.233,5.9,581.0
BEL00120_2017-02-08,7.8,0.03,4.596,0.17,11.49,0.202,6.6,406.0
BEL00120_2017-03-08,8.15,0.03,3.896,0.14,10.97,0.101,8.2,429.0
BEL00120_2017-04-05,8.02,0.034,3.698,0.13,9.45,0.07,13.3,408.0
BEL00120_2017-05-03,8.14,0.027,3.598,0.24,9.17,0.116,13.3,526.0
BEL00120_2017-06-28,8.05,0.055,1.799,0.33,8.38,0.21,22.5,704.0
BEL00120_2017-07-26,7.96,0.037,1.7,0.23,6.83,0.132,21.5,630.0
BEL00120_2017-08-23,7.65,0.043,2.199,0.33,5.7,0.202,21.2,547.0
BEL00120_2017-09-20,7.86,0.03,2.298,0.16,7.13,0.248,16.7,658.0
BEL00120_2017-10-18,7.7,0.021,2.397,0.15,7.73,0.241,15.8,366.0
BEL00120_2017-11-22,8.06,0.021,2.698,0.18,10.49,0.109,9.9,432.0
BEL00120_2017-12-13,8.12,0.021,3.797,0.16,11.02,0.101,6.1,376.0
BEL00120_2018-01-10,7.91,0.02439024,3.19865078,0.12,10.75,0.077649,7.8,283.0
BEL00120_2018-02-07,7.97,0.02134146,2.99774752,0.12,11.55,0.1087086,5.4,346.0
BEL00120_2018-03-07,8.28,0.02439024,3.59819996,0.1,11.91,0.1475331,5.1,419.0
BEL00120_2018-04-04,8.04,0.02439024,3.3972967,0.1,10.51,0.0698841,11.0,423.0
BEL00120_2018-05-02,8.13,0.02439024,2.99774752,0.1,8.65,0.077649,15.2,450.0
BEL00120_2018-06-27,7.93,0.02439024,2.59819834,0.14,7.64,0.1164735,21.4,388.0
BEL00120_2018-07-25,8.49,0.02134146,2.0993262,0.19,9.03,0.0854139,25.9,571.0
BEL00120_2018-08-22,8.28,0.0304878,2.0993262,0.16,9.04,0.0854139,22.9,613.0
BEL00120_2018-09-19,7.92,0.02439024,2.39729508,0.27,7.53,0.0698841,21.0,679.0
BEL00120_2018-10-17,7.77,0.02439024,2.7991016,0.22,7.55,0.1164735,16.9,616.0
BEL00120_2018-11-21,8.14,0.02134146,2.49887538,0.25,11.01,0.0465894,7.8,588.0
BEL00120_2018-12-12,7.98,0.0304878,2.99774752,0.18,10.5,0.1320033,8.4,390.0
BEL00120_2019-01-09,7.94,0.02134146,4.39729832,0.13,11.61,0.1009437,6.7,372.0
BEL00120_2019-02-06,7.98,0.0304878,4.29797536,0.15,11.8,0.1320033,5.7,391.0
BEL00120_2019-03-06,8.21,0.02134146,4.39729832,0.12,10.56,1.1026158,9.3,474.0
BEL00120_2019-04-03,8.08,0.01829268,3.79684588,0.12,10.19,0.1320033,12.0,412.0
BEL00120_2019-05-28,7.81,0.03658536,3.09707048,0.16,7.37,0.1785927,18.5,407.0
BEL00120_2019-06-26,8.18,0.03353658,2.7991016,0.16,9.46,0.1009437,24.7,570.0
BEL00120_2019-07-24,8.22,0.0304878,2.19864916,0.17,7.22,0.1475331,25.3,572.0
BEL00120_2019-08-21,8.36,0.02134146,2.0993262,0.23,9.35,0.1009437,20.5,604.0
BEL00120_2019-09-18,7.94,0.02743902,2.39729508,0.45,7.36,0.1863576,18.4,604.0
BEL00120_2019-10-16,8.13,0.02439024,2.39729508,0.29,9.19,0.1009437,15.4,558.0
BEL00120_2019-11-13,8.04,0.02439024,2.89842456,0.17,9.68,0.1009437,9.7,447.0
BEL00120_2019-12-11,8.09,0.02439024,3.29797374,0.14,11.28,0.1009437,7.4,342.0
BEL00120_2020-01-07,8.05,0.01829268,3.69752292,0.13,11.91,0.1087086,6.8,336.0
BEL00120_2020-02-04,8.15,0.02439024,3.59819996,0.081,11.43,0.1320033,7.8,376.0
BEL00120_2020-03-03,8.16,0.02743902,3.09707048,0.1,11.07,0.1009437,7.3,346.0
BEL00120_2020-04-29,8.1,0.0304878,3.29797374,0.076,8.38,0.1009437,17.2,479.0
BEL00120_2020-05-26,7.96,0.0304878,3.09707048,0.15,7.75,0.1164735,19.7,518.0
BEL00120_2020-06-23,8.06,0.03353658,2.7991016,0.14,8.45,0.1009437,22.1,522.0
BEL00120_2020-07-22,8.27,0.01829268,2.29797212,0.13,8.79,0.1009437,21.0,609.0
BEL00120_2020-08-18,8.01,0.04878048,1.9977459,0.19,5.49,0.1708278,24.9,676.0
BEL00120_2020-09-15,7.89,0.02439024,1.89842294,0.2,7.55,0.1009437,21.0,694.0
BEL00120_2020-10-13,8.0,0.05487804,2.29797212,0.22,7.99,0.1397682,13.7,498.0
BEL00120_2020-11-09,7.9,0.02134146,2.49887538,0.12,8.72,0.1009437,12.4,434.0
BEL00120_2020-12-08,7.97,0.01829268,2.6975213,0.13,10.8,0.1009437,7.3,408.0
BEL00120_2021-01-07,8.0,0.0152439,3.88713948,0.122,12.08,0.1009437,5.0,365.0
BEL00120_2021-02-02,8.07,0.02134146,3.85779406,0.149,12.02,0.1009437,6.0,339.0
BEL00120_2021-03-02,8.11,0.03353658,4.2663726,0.127,10.22,0.1009437,11.2,452.0
BEL00120_2021-04-29,8.36,0.0152439,2.82844702,0.086,10.16,0.1009437,13.0,421.0
BEL00120_2021-05-26,8.13,0.0304878,2.7991016,0.095,9.08,0.1009437,14.2,454.0
BEL00120_2021-06-22,7.95,0.0304878,2.88713786,0.14,7.92,0.155298,22.5,425.0
BEL00120_2021-07-19,7.61,0.02743902,2.04740738,0.211,7.26,0.1009437,21.0,254.0
BEL00120_2021-08-17,8.09,0.02439024,2.80813096,0.114,8.18,0.1009437,19.9,440.0
BEL00120_2021-09-14,8.06,0.0152439,1.49887376,0.142,7.78,0.0543543,20.5,484.0
BEL00120_2021-10-12,8.06,0.03658536,2.9684021,0.229,8.55,0.1009437,15.0,524.0
BEL00120_2021-11-09,7.97,0.02743902,2.81716032,0.159,9.85,0.1009437,10.8,425.0
BEL00120_2021-12-07,8.13,0.02134146,3.16704802,0.165,11.66,0.1009437,6.8,451.0
BEL00122_2013-02-11,8.04,0.034,1.479,0.64,11.79,1.328,1.2,2230.0
BEL00122_2013-03-14,8.0,0.021,1.849,0.7,11.89,0.908,4.9,2101.0
BEL00122_2013-04-08,8.67,0.021,0.4,0.26,21.76,0.163,7.5,4310.0
BEL00122_2013-05-07,8.41,0.021,0.4,0.57,8.99,0.163,15.3,4400.0
BEL00122_2013-06-12,8.35,0.021,0.4,0.56,9.42,0.163,17.9,3180.0
BEL00122_2013-07-09,8.36,0.021,0.4,1.9,9.827213114754098,0.163,22.3,6390.0
BEL00122_2013-08-12,8.55,0.021,0.4,2.4,10.34,0.163,19.9,9970.0
BEL00122_2013-09-11,8.29,0.021,0.4,1.1,8.27,0.163,15.2,9960.0
BEL00122_2013-10-07,8.6,0.021,0.4,1.1,12.36,0.163,15.5,9010.0
BEL00122_2013-10-30,8.11,0.119,0.95,0.9,8.7,0.714,10.6,2360.0
BEL00122_2013-11-27,7.77,0.052,1.499,1.0,7.44,0.738,6.6,1734.0
BEL00122_2014-01-16,8.0,0.021,1.718,0.9,9.44,0.924,7.7,2210.0
BEL00122_2014-02-10,7.96,0.021,2.018,0.8,9.64,0.287,6.7,1154.0
BEL00122_2014-03-06,7.82,0.021,1.009,0.82,9.43,0.458,8.2,2093.0
BEL00122_2014-04-07,8.38,0.021,0.42,0.77,12.31,0.163,14.6,3490.0
BEL00122_2014-05-08,8.44,0.021,0.4,1.8,8.55,0.163,13.5,5990.0
BEL00122_2014-06-11,8.41,0.021,0.4,2.4,7.67,0.163,21.9,5350.0
BEL00122_2014-07-07,8.33,0.021,0.4,2.8,8.11,0.163,19.7,10550.0
BEL00122_2014-08-11,8.27,0.021,0.4,2.3,7.04,0.163,19.1,11800.0
BEL00122_2014-09-09,8.74,0.021,0.4,0.85,13.99,0.163,20.1,1999.0
BEL00122_2014-10-02,8.38,0.021,0.4,1.1,7.77,0.163,17.9,6460.0
BEL00122_2014-11-03,8.47,0.021,0.4,0.76,9.42,0.163,13.1,5060.0
BEL00122_2014-12-02,7.86,0.021,0.499,0.83,6.62,1.04,4.5,2410.0
BEL00122_2015-02-11,7.82,0.021,1.54,0.78,8.52,1.079,5.6,2550.0
BEL00122_2015-02-25,8.05,0.024,2.309,0.8,10.69,0.629,6.1,1862.0
BEL00122_2015-03-25,8.43,0.021,0.4,0.28,11.34,0.163,7.2,4840.0
BEL00122_2015-04-22,8.37,0.021,0.4,0.88,9.61,0.163,12.8,2830.0
BEL00122_2015-05-27,8.51,0.021,0.4,0.85,9.92,0.163,17.1,6450.0
BEL00122_2015-06-24,8.23,0.021,0.4,1.28,8.36,0.163,18.2,8580.0
BEL00122_2015-07-23,8.17,0.021,0.4,2.0,6.51,0.163,21.9,8830.0
