country,source_title,excerpt,geo_location,water_source,sanitation_type,sector,gender,age_group,income_level,infrastructure_type,population_density,climate_zone,year,organization,source_type,special_needs_group,severity,water_color,water_clarity,water_odor,recent_rain,nearby_activities,nearby_infrastructure,vegetation_near_source,waste_disposal_nearby,animal_access,water_flow_rate
Somalia,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",89.209031,Truck Delivery,Pit Latrine,Public Infrastructure,Female,Child,Middle,Refugee Camp,Sparse,Tropical,2018,Red Cross,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,29.2968895,Well,Open Defecation,Health,Female,Youth,Low,Refugee Camp,Sparse,Semi-Arid,2017,Water.org,Field Survey,,Unsafe,brown,turbid,none,no,sewage treatment,waste facilities,lush,managed sites,no,slow
Nepal,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-80.886908,River,Flush Toilet,Education,Female,Child,High,Refugee Camp,Sparse,Temperate,2023,WHO,Gov Report,Elderly,Unsafe,brown,cloudy,chemical,no,sewage treatment,none,dead,none,yes,slow
Nigeria,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",79.350193,Borehole,Composting Toilet,Agriculture,Male,Child,Low,Rural Village,Dense,Arid,2022,Water.org,NGO Report,,Unsafe,clear,clear,none,yes,mining,none,lush,open dumping,no,slow
Somalia,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",32.6594115,Borehole,Pit Latrine,Agriculture,Female,Child,Middle,Urban Slum,Dense,Temperate,2021,Save the Children,NGO Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-87.6426175,Truck Delivery,Flush Toilet,Health,Female,Youth,Middle,Rural Village,Medium,Semi-Arid,2018,Water.org,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",27.121049,Truck Delivery,Flush Toilet,Public Infrastructure,Female,Child,Middle,Peri-Urban,Sparse,Tropical,2017,Save the Children,Academic Paper,Elderly,Unsafe,clear,cloudy,none,yes,farming,waste facilities,dead,open dumping,yes,flowing
Nigeria,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-29.171709,Piped Water,Open Defecation,Public Infrastructure,Female,Elderly,High,Refugee Camp,Dense,Semi-Arid,2017,WHO,NGO Report,Elderly,Unsafe,brown,cloudy,none,no,sewage treatment,waste facilities,lush,none,no,slow
Nepal,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-19.509188,River,Composting Toilet,Agriculture,Female,Elderly,Middle,Peri-Urban,Dense,Tropical,2023,WHO,Gov Report,Children Under 5,Unsafe,green,clear,none,yes,farming,sewage lines,sparse,managed sites,yes,slow
Bangladesh,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-34.1502895,River,Composting Toilet,Health,Female,Adult,High,Refugee Camp,Sparse,Tropical,2020,Red Cross,Field Survey,Disabled,Unsafe,murky,turbid,sewage,yes,sewage treatment,waste facilities,sparse,open dumping,yes,stagnant
Ethiopia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-86.7677735,Borehole,Open Defecation,Education,Female,Youth,Middle,Refugee Camp,Medium,Tropical,2016,WHO,Academic Paper,,Unsafe,green,clear,none,no,farming,none,sparse,open dumping,yes,slow
Ethiopia,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,52.918694,Rainwater,Flush Toilet,Agriculture,Male,Child,Low,Refugee Camp,Sparse,Temperate,2023,Red Cross,Gov Report,Children Under 5,Unsafe,brown,cloudy,chemical,no,farming,waste facilities,lush,open dumping,no,flowing
India,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-29.367496,Well,Composting Toilet,Education,Male,Child,Middle,Rural Village,Sparse,Semi-Arid,2024,Save the Children,NGO Report,Pregnant Women,Unsafe,murky,turbid,sewage,no,sewage treatment,sewage lines,dead,none,yes,stagnant
DR Congo,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-46.212102,Piped Water,Pit Latrine,Public Infrastructure,Male,Adult,Middle,Rural Village,Sparse,Tropical,2016,WHO,NGO Report,,Unsafe,clear,cloudy,sewage,yes,none,waste facilities,dead,managed sites,yes,flowing
Somalia,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",71.8226365,Borehole,Flush Toilet,Public Infrastructure,Female,Child,Middle,Rural Village,Medium,Tropical,2019,WHO,Gov Report,Children Under 5,Unsafe,murky,clear,chemical,no,mining,none,lush,open dumping,yes,stagnant
Uganda,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-17.9188525,Borehole,Open Defecation,Public Infrastructure,Female,Youth,High,Refugee Camp,Sparse,Semi-Arid,2016,Water.org,Academic Paper,Children Under 5,Unsafe,murky,clear,sewage,no,mining,none,lush,none,no,flowing
Ethiopia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-75.0889015,Truck Delivery,Pit Latrine,Education,Male,Elderly,Middle,Urban Slum,Sparse,Tropical,2015,Save the Children,Field Survey,Elderly,Unsafe,brown,turbid,sewage,yes,sewage treatment,sewage lines,lush,open dumping,no,stagnant
Nigeria,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,39.224067,Well,Pit Latrine,Education,Female,Elderly,Middle,Peri-Urban,Sparse,Arid,2023,Water.org,Academic Paper,Elderly,Unsafe,brown,turbid,chemical,no,farming,waste facilities,dead,open dumping,yes,stagnant
Haiti,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,51.094359,Protected Spring,Pit Latrine,Agriculture,Female,Youth,High,Peri-Urban,Dense,Temperate,2017,Water.org,NGO Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-70.061525,Protected Spring,Flush Toilet,Education,Male,Child,Low,Peri-Urban,Dense,Semi-Arid,2017,Save the Children,NGO Report,Pregnant Women,Unsafe,brown,clear,chemical,no,none,waste facilities,sparse,open dumping,yes,flowing
Haiti,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,82.393248,River,Flush Toilet,Education,Male,Elderly,Low,Refugee Camp,Dense,Temperate,2017,Save the Children,NGO Report,Pregnant Women,Unsafe,brown,cloudy,none,yes,sewage treatment,waste facilities,sparse,none,no,flowing
India,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-87.1588865,Well,Pit Latrine,Agriculture,Female,Child,High,Refugee Camp,Dense,Semi-Arid,2016,Red Cross,Academic Paper,Disabled,Unsafe,murky,clear,sewage,yes,none,sewage lines,lush,none,no,stagnant
DR Congo,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-51.4094465,Protected Spring,Pit Latrine,Agriculture,Male,Adult,High,Rural Village,Medium,Arid,2021,Water.org,NGO Report,Children Under 5,Unsafe,green,turbid,none,no,mining,sewage lines,sparse,managed sites,no,flowing
Uganda,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",-67.5467925,Well,Flush Toilet,Education,Female,Elderly,Low,Urban Slum,Sparse,Tropical,2015,Water.org,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
India,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,72.090262,Rainwater,Pit Latrine,Health,Male,Adult,High,Urban Slum,Medium,Semi-Arid,2019,WHO,NGO Report,Children Under 5,Unsafe,murky,cloudy,none,yes,mining,waste facilities,lush,open dumping,no,slow
DR Congo,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",84.846243,Piped Water,Pit Latrine,Education,Female,Child,Low,Rural Village,Dense,Temperate,2025,Red Cross,Academic Paper,,Unsafe,brown,cloudy,sewage,no,farming,waste facilities,sparse,open dumping,no,stagnant
Somalia,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-2.68084,Well,Flush Toilet,Education,Male,Child,Low,Urban Slum,Medium,Semi-Arid,2024,Red Cross,Field Survey,Disabled,Unsafe,green,cloudy,sewage,no,sewage treatment,none,dead,none,no,flowing
Nigeria,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",52.6611065,Rainwater,Open Defecation,Public Infrastructure,Male,Youth,High,Rural Village,Sparse,Tropical,2016,Red Cross,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,86.444313,River,Open Defecation,Agriculture,Male,Adult,High,Rural Village,Sparse,Temperate,2024,Water.org,Gov Report,Pregnant Women,Unsafe,murky,cloudy,none,no,farming,waste facilities,dead,managed sites,yes,stagnant
DR Congo,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-45.7976305,Truck Delivery,Flush Toilet,Health,Male,Adult,Low,Rural Village,Medium,Temperate,2022,Water.org,Academic Paper,Pregnant Women,Unsafe,murky,cloudy,none,no,sewage treatment,sewage lines,dead,open dumping,yes,stagnant
Kenya,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,87.714179,Truck Delivery,Pit Latrine,Health,Male,Child,Middle,Urban Slum,Medium,Semi-Arid,2024,WHO,NGO Report,,Unsafe,clear,turbid,chemical,yes,sewage treatment,sewage lines,dead,managed sites,no,flowing
Ethiopia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",56.166227,River,Composting Toilet,Education,Female,Adult,Middle,Rural Village,Medium,Tropical,2019,Save the Children,Field Survey,Elderly,Unsafe,green,cloudy,chemical,yes,farming,waste facilities,dead,open dumping,no,slow
Uganda,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-19.628121,Truck Delivery,Flush Toilet,Agriculture,Female,Elderly,Middle,Rural Village,Sparse,Semi-Arid,2022,UNICEF,Field Survey,,Unsafe,murky,clear,none,no,mining,sewage lines,dead,none,no,slow
Nepal,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-28.133561,Truck Delivery,Composting Toilet,Health,Female,Child,Middle,Peri-Urban,Medium,Arid,2018,Water.org,NGO Report,,Unsafe,murky,clear,none,yes,none,waste facilities,dead,open dumping,no,flowing
Ethiopia,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,61.1516035,River,Composting Toilet,Health,Female,Child,Middle,Peri-Urban,Dense,Temperate,2020,Water.org,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,20.2067425,Well,Flush Toilet,Education,Male,Youth,Low,Rural Village,Medium,Temperate,2016,Water.org,Field Survey,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
India,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",72.4543955,Truck Delivery,Composting Toilet,Agriculture,Female,Elderly,Low,Urban Slum,Sparse,Arid,2019,Save the Children,Academic Paper,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,64.8124025,Truck Delivery,Flush Toilet,Public Infrastructure,Female,Adult,Middle,Refugee Camp,Dense,Arid,2016,WHO,Academic Paper,Children Under 5,Unsafe,clear,cloudy,chemical,no,sewage treatment,sewage lines,dead,none,no,slow
Kenya,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,55.388893,Piped Water,Open Defecation,Agriculture,Male,Child,Low,Rural Village,Dense,Semi-Arid,2021,Water.org,Field Survey,,Unsafe,brown,cloudy,sewage,no,sewage treatment,sewage lines,sparse,open dumping,yes,slow
Ethiopia,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-31.431438,Rainwater,Pit Latrine,Health,Male,Youth,Low,Urban Slum,Dense,Semi-Arid,2021,UNICEF,NGO Report,Children Under 5,Unsafe,murky,cloudy,chemical,no,none,sewage lines,dead,none,no,flowing
Haiti,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,43.6341435,Rainwater,Open Defecation,Education,Female,Elderly,Low,Rural Village,Sparse,Tropical,2025,Red Cross,Gov Report,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-21.8656175,Piped Water,Pit Latrine,Public Infrastructure,Male,Adult,Low,Rural Village,Sparse,Semi-Arid,2025,Water.org,Academic Paper,Disabled,Unsafe,murky,cloudy,chemical,no,sewage treatment,waste facilities,sparse,open dumping,yes,flowing
India,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-80.789199,Truck Delivery,Pit Latrine,Health,Female,Youth,High,Rural Village,Medium,Arid,2019,WHO,Field Survey,Pregnant Women,Unsafe,brown,clear,sewage,no,mining,none,lush,open dumping,yes,stagnant
Bangladesh,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",87.458551,River,Pit Latrine,Education,Male,Youth,High,Refugee Camp,Medium,Tropical,2015,Red Cross,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,19.1532245,Truck Delivery,Open Defecation,Health,Male,Child,Middle,Peri-Urban,Dense,Temperate,2022,Water.org,Academic Paper,Pregnant Women,Unsafe,clear,clear,sewage,yes,sewage treatment,waste facilities,lush,none,no,flowing
Haiti,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,-84.5236585,Rainwater,Composting Toilet,Public Infrastructure,Female,Adult,Middle,Peri-Urban,Dense,Arid,2024,WHO,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",-84.5236585,Rainwater,Composting Toilet,Public Infrastructure,Female,Adult,Middle,Peri-Urban,Dense,Arid,2024,WHO,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",36.2852575,Borehole,Flush Toilet,Public Infrastructure,Female,Youth,Low,Refugee Camp,Sparse,Semi-Arid,2025,WHO,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,-83.861566,Protected Spring,Flush Toilet,Agriculture,Female,Elderly,Middle,Rural Village,Sparse,Semi-Arid,2025,Save the Children,Gov Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-84.5236585,Rainwater,Composting Toilet,Public Infrastructure,Female,Adult,Middle,Peri-Urban,Dense,Arid,2024,WHO,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",80.678785,Piped Water,Pit Latrine,Education,Male,Child,High,Peri-Urban,Sparse,Temperate,2024,Water.org,Gov Report,Elderly,Unsafe,brown,turbid,sewage,yes,farming,none,lush,managed sites,yes,flowing
Haiti,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,61.3533805,Borehole,Composting Toilet,Agriculture,Female,Youth,Low,Urban Slum,Medium,Tropical,2024,WHO,Academic Paper,Pregnant Women,Unsafe,murky,clear,none,no,mining,sewage lines,sparse,managed sites,no,stagnant
Ethiopia,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,2.5922635,Truck Delivery,Composting Toilet,Public Infrastructure,Male,Adult,Middle,Refugee Camp,Dense,Semi-Arid,2024,UNICEF,Field Survey,Pregnant Women,Unsafe,murky,cloudy,chemical,yes,none,none,lush,managed sites,yes,slow
Kenya,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,69.7878965,River,Composting Toilet,Agriculture,Female,Youth,Middle,Refugee Camp,Sparse,Tropical,2017,Water.org,Academic Paper,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-27.8645585,River,Composting Toilet,Education,Male,Adult,Middle,Refugee Camp,Medium,Semi-Arid,2024,Red Cross,Academic Paper,Elderly,Unsafe,brown,cloudy,sewage,no,farming,sewage lines,lush,open dumping,yes,slow
Kenya,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-30.334413,Protected Spring,Pit Latrine,Health,Male,Youth,High,Peri-Urban,Sparse,Semi-Arid,2025,Water.org,Gov Report,Children Under 5,Unsafe,brown,cloudy,none,no,farming,none,dead,none,yes,stagnant
Nigeria,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-28.8947005,River,Composting Toilet,Health,Female,Elderly,High,Peri-Urban,Medium,Semi-Arid,2015,UNICEF,Academic Paper,Elderly,Unsafe,clear,turbid,none,no,mining,none,sparse,managed sites,yes,stagnant
Uganda,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-88.5160605,River,Open Defecation,Public Infrastructure,Female,Child,Middle,Urban Slum,Sparse,Temperate,2022,UNICEF,Gov Report,Children Under 5,Unsafe,murky,clear,chemical,yes,mining,waste facilities,lush,open dumping,yes,stagnant
Somalia,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-15.3644185,Rainwater,Flush Toilet,Agriculture,Female,Youth,Middle,Refugee Camp,Sparse,Tropical,2023,Save the Children,Academic Paper,Elderly,Unsafe,murky,cloudy,none,no,mining,sewage lines,sparse,none,yes,stagnant
India,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,84.1455,Well,Pit Latrine,Health,Male,Adult,Middle,Peri-Urban,Dense,Tropical,2017,Save the Children,Academic Paper,,Unsafe,brown,turbid,chemical,no,mining,sewage lines,dead,none,no,slow
Uganda,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,20.1849575,Well,Open Defecation,Public Infrastructure,Male,Elderly,Low,Peri-Urban,Dense,Arid,2015,Red Cross,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,-39.538155,Protected Spring,Flush Toilet,Education,Male,Child,High,Refugee Camp,Dense,Temperate,2021,WHO,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,10.9030815,Well,Composting Toilet,Agriculture,Female,Adult,High,Peri-Urban,Medium,Temperate,2016,WHO,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",16.0372455,Well,Open Defecation,Agriculture,Male,Elderly,Low,Urban Slum,Dense,Arid,2022,Red Cross,Field Survey,Elderly,Unsafe,clear,turbid,chemical,yes,mining,none,lush,managed sites,no,slow
Ethiopia,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-50.4778365,Borehole,Open Defecation,Health,Female,Youth,High,Urban Slum,Sparse,Temperate,2018,UNICEF,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-61.5966275,Rainwater,Open Defecation,Agriculture,Female,Adult,Middle,Peri-Urban,Dense,Tropical,2018,WHO,NGO Report,,Unsafe,murky,clear,chemical,yes,none,waste facilities,lush,none,yes,slow
Kenya,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-68.8021075,Piped Water,Open Defecation,Agriculture,Male,Youth,Middle,Refugee Camp,Dense,Tropical,2024,Save the Children,Academic Paper,Elderly,Unsafe,clear,clear,sewage,yes,sewage treatment,sewage lines,sparse,none,no,slow
Nepal,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",22.5829495,River,Open Defecation,Agriculture,Male,Child,Low,Urban Slum,Sparse,Temperate,2015,UNICEF,Academic Paper,Children Under 5,Unsafe,murky,cloudy,sewage,no,none,none,lush,managed sites,yes,slow
DR Congo,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",73.1934875,Protected Spring,Composting Toilet,Health,Female,Child,High,Refugee Camp,Medium,Tropical,2020,UNICEF,Field Survey,Elderly,Unsafe,clear,clear,none,no,mining,none,lush,open dumping,no,slow
Bangladesh,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,32.4103615,Piped Water,Composting Toilet,Public Infrastructure,Female,Child,High,Peri-Urban,Dense,Temperate,2017,Save the Children,Field Survey,Elderly,Unsafe,clear,cloudy,none,no,farming,waste facilities,sparse,managed sites,yes,flowing
India,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-32.3943145,Piped Water,Open Defecation,Public Infrastructure,Male,Elderly,High,Rural Village,Sparse,Tropical,2016,Save the Children,Academic Paper,Children Under 5,Unsafe,green,cloudy,chemical,yes,farming,sewage lines,lush,none,no,slow
Nigeria,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,76.5555855,Protected Spring,Open Defecation,Public Infrastructure,Female,Adult,Low,Refugee Camp,Sparse,Semi-Arid,2018,Save the Children,Gov Report,Children Under 5,Unsafe,brown,clear,none,no,none,none,dead,managed sites,yes,stagnant
Uganda,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,37.8020955,Truck Delivery,Composting Toilet,Education,Female,Youth,Low,Rural Village,Sparse,Tropical,2023,Red Cross,Academic Paper,Elderly,Unsafe,clear,turbid,none,yes,none,none,sparse,none,no,slow
India,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,33.886132,Piped Water,Open Defecation,Public Infrastructure,Female,Child,Middle,Refugee Camp,Dense,Semi-Arid,2017,Water.org,NGO Report,Pregnant Women,Unsafe,clear,clear,chemical,no,none,sewage lines,sparse,open dumping,no,slow
Bangladesh,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,14.6312845,Rainwater,Open Defecation,Health,Female,Elderly,High,Peri-Urban,Sparse,Tropical,2016,WHO,Field Survey,Children Under 5,Unsafe,murky,turbid,none,yes,mining,none,sparse,open dumping,no,stagnant
Haiti,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,83.194241,Protected Spring,Flush Toilet,Health,Female,Adult,High,Urban Slum,Dense,Arid,2020,Water.org,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",46.67294,Rainwater,Open Defecation,Health,Male,Adult,Low,Rural Village,Medium,Tropical,2020,UNICEF,Field Survey,Pregnant Women,Unsafe,brown,clear,chemical,yes,none,none,sparse,none,yes,flowing
Nepal,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",2.2974315,Rainwater,Open Defecation,Agriculture,Female,Child,High,Peri-Urban,Medium,Semi-Arid,2017,UNICEF,Academic Paper,Elderly,Unsafe,murky,turbid,none,yes,sewage treatment,none,lush,open dumping,no,slow
DR Congo,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-17.45703,Protected Spring,Pit Latrine,Agriculture,Male,Adult,Low,Peri-Urban,Medium,Temperate,2025,Water.org,Field Survey,Elderly,Unsafe,green,cloudy,none,yes,farming,none,dead,none,yes,slow
Kenya,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",45.0375675,Piped Water,Open Defecation,Agriculture,Female,Elderly,High,Peri-Urban,Dense,Temperate,2020,Save the Children,Field Survey,Elderly,Unsafe,green,turbid,none,no,farming,none,sparse,none,no,flowing
India,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-75.863788,Truck Delivery,Pit Latrine,Education,Male,Adult,High,Urban Slum,Medium,Tropical,2015,Water.org,Academic Paper,,Unsafe,clear,turbid,none,yes,none,none,sparse,none,no,flowing
Somalia,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-69.1237105,Borehole,Pit Latrine,Public Infrastructure,Female,Elderly,Middle,Rural Village,Sparse,Semi-Arid,2025,Red Cross,NGO Report,Children Under 5,Unsafe,clear,turbid,none,no,farming,sewage lines,lush,open dumping,yes,flowing
Nigeria,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-73.488005,Well,Open Defecation,Public Infrastructure,Female,Elderly,Low,Urban Slum,Medium,Semi-Arid,2019,WHO,NGO Report,Children Under 5,Unsafe,green,cloudy,sewage,yes,mining,waste facilities,dead,open dumping,yes,slow
Haiti,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,47.2746455,Protected Spring,Pit Latrine,Public Infrastructure,Male,Youth,Low,Rural Village,Dense,Temperate,2015,Water.org,Gov Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-69.9231855,Piped Water,Open Defecation,Health,Male,Youth,High,Refugee Camp,Dense,Arid,2020,Save the Children,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-68.0889305,River,Pit Latrine,Public Infrastructure,Female,Youth,High,Refugee Camp,Dense,Arid,2020,Red Cross,Gov Report,Elderly,Unsafe,brown,cloudy,chemical,no,sewage treatment,sewage lines,dead,managed sites,yes,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-89.2626045,River,Flush Toilet,Education,Female,Child,Middle,Peri-Urban,Medium,Arid,2021,Red Cross,Field Survey,Elderly,Unsafe,green,clear,none,no,farming,sewage lines,sparse,open dumping,no,flowing
